prediction_start_date,training_start,training_end,training_observations,raw_intermediate_state,raw_low_vol_state,raw_high_vol_state
2014-10-08,2010-10-18,2014-10-07,1000,1,0,2
2014-11-06,2010-10-18,2014-11-05,1021,1,0,2
2014-12-08,2010-10-18,2014-12-05,1042,1,0,2
2015-01-08,2010-10-18,2015-01-07,1063,1,0,2
2015-02-09,2010-10-18,2015-02-06,1084,1,2,0
2015-03-11,2010-10-18,2015-03-10,1105,1,2,0
2015-04-10,2010-10-18,2015-04-09,1126,1,2,0
2015-05-11,2010-10-18,2015-05-08,1147,1,2,0
2015-06-10,2010-10-18,2015-06-09,1168,0,2,1
2015-07-10,2010-10-18,2015-07-09,1189,0,2,1
2015-08-10,2010-10-18,2015-08-07,1210,0,1,2
2015-09-09,2010-10-18,2015-09-08,1231,1,0,2
2015-10-08,2010-10-18,2015-10-07,1252,0,1,2
2015-11-06,2010-10-18,2015-11-05,1273,0,1,2
2015-12-08,2010-10-18,2015-12-07,1294,0,1,2
2016-01-08,2010-10-18,2016-01-07,1315,0,1,2
2016-02-09,2010-10-18,2016-02-08,1336,1,2,0
2016-03-10,2010-10-18,2016-03-09,1357,0,2,1
2016-04-11,2010-10-18,2016-04-08,1378,0,2,1
2016-05-10,2010-10-18,2016-05-09,1399,1,0,2
2016-06-09,2010-10-18,2016-06-08,1420,0,1,2
2016-07-11,2010-10-18,2016-07-08,1441,0,1,2
2016-08-09,2010-10-18,2016-08-08,1462,1,0,2
2016-09-08,2010-10-18,2016-09-07,1483,0,1,2
2016-10-07,2010-10-18,2016-10-06,1504,0,2,1
2016-11-07,2010-10-18,2016-11-04,1525,1,0,2
2016-12-07,2010-10-18,2016-12-06,1546,1,2,0
2017-01-09,2010-10-18,2017-01-06,1567,1,0,2
2017-02-08,2010-10-18,2017-02-07,1588,1,0,2
2017-03-10,2010-10-18,2017-03-09,1609,1,2,0
2017-04-10,2010-10-18,2017-04-07,1630,1,0,2
2017-05-10,2010-10-18,2017-05-09,1651,1,0,2
2017-06-09,2010-10-18,2017-06-08,1672,0,1,2
2017-07-11,2010-10-18,2017-07-10,1693,1,2,0
2017-08-09,2010-10-18,2017-08-08,1714,1,2,0
2017-09-08,2010-10-18,2017-09-07,1735,0,1,2
2017-10-09,2010-10-18,2017-10-06,1756,1,0,2
2017-11-07,2010-10-18,2017-11-06,1777,0,1,2
2017-12-07,2010-10-18,2017-12-06,1798,1,0,2
2018-01-09,2010-10-18,2018-01-08,1819,0,1,2
2018-02-08,2010-10-18,2018-02-07,1840,1,2,0
2018-03-12,2010-10-18,2018-03-09,1861,1,0,2
2018-04-11,2010-10-18,2018-04-10,1882,0,1,2
2018-05-10,2010-10-18,2018-05-09,1903,1,0,2
2018-06-11,2010-10-18,2018-06-08,1924,0,1,2
2018-07-11,2010-10-18,2018-07-10,1945,0,1,2
2018-08-09,2010-10-18,2018-08-08,1966,1,0,2
2018-09-10,2010-10-18,2018-09-07,1987,0,1,2
2018-10-09,2010-10-18,2018-10-08,2008,0,2,1
2018-11-07,2010-10-18,2018-11-06,2029,1,0,2
2018-12-10,2010-10-18,2018-12-07,2050,1,0,2
2019-01-10,2010-10-18,2019-01-09,2071,0,1,2
2019-02-11,2010-10-18,2019-02-08,2092,1,0,2
2019-03-13,2010-10-18,2019-03-12,2113,1,0,2
2019-04-11,2010-10-18,2019-04-10,2134,1,2,0
2019-05-13,2010-10-18,2019-05-10,2155,1,2,0
2019-06-12,2010-10-18,2019-06-11,2176,0,1,2
2019-07-12,2010-10-18,2019-07-11,2197,1,0,2
2019-08-12,2010-10-18,2019-08-09,2218,1,0,2
2019-09-11,2010-10-18,2019-09-10,2239,1,0,2
2019-10-10,2010-10-18,2019-10-09,2260,0,1,2
2019-11-08,2010-10-18,2019-11-07,2281,0,1,2
2019-12-10,2010-10-18,2019-12-09,2302,1,2,0
2020-01-10,2010-10-18,2020-01-09,2323,1,0,2
2020-02-11,2010-10-18,2020-02-10,2344,0,1,2
2020-03-12,2010-10-18,2020-03-11,2365,1,0,2
2020-04-13,2010-10-18,2020-04-09,2386,0,2,1
2020-05-12,2010-10-18,2020-05-11,2407,0,2,1
2020-06-11,2010-10-18,2020-06-10,2428,0,1,2
2020-07-13,2010-10-18,2020-07-10,2449,0,1,2
2020-08-11,2010-10-18,2020-08-10,2470,0,2,1
2020-09-10,2010-10-18,2020-09-09,2491,0,2,1
2020-10-09,2010-10-18,2020-10-08,2512,0,1,2
2020-11-09,2010-10-18,2020-11-06,2533,0,1,2
2020-12-09,2010-10-18,2020-12-08,2554,0,1,2
2021-01-11,2010-10-18,2021-01-08,2575,0,1,2
2021-02-10,2010-10-18,2021-02-09,2596,0,2,1
2021-03-12,2010-10-18,2021-03-11,2617,0,1,2
2021-04-13,2010-10-18,2021-04-12,2638,0,1,2
2021-05-12,2010-10-18,2021-05-11,2659,1,0,2
2021-06-11,2010-10-18,2021-06-10,2680,0,1,2
2021-07-13,2010-10-18,2021-07-12,2701,1,0,2
2021-08-11,2010-10-18,2021-08-10,2722,0,1,2
2021-09-10,2010-10-18,2021-09-09,2743,0,2,1
2021-10-11,2010-10-18,2021-10-08,2764,0,1,2
2021-11-09,2010-10-18,2021-11-08,2785,1,0,2
2021-12-09,2010-10-18,2021-12-08,2806,1,0,2
2022-01-10,2010-10-18,2022-01-07,2827,1,0,2
2022-02-09,2010-10-18,2022-02-08,2848,1,2,0
2022-03-11,2010-10-18,2022-03-10,2869,1,2,0
2022-04-11,2010-10-18,2022-04-08,2890,1,0,2
2022-05-11,2010-10-18,2022-05-10,2911,0,2,1
2022-06-10,2010-10-18,2022-06-09,2932,1,2,0
2022-07-13,2010-10-18,2022-07-12,2953,0,1,2
2022-08-11,2010-10-18,2022-08-10,2974,1,0,2
2022-09-12,2010-10-18,2022-09-09,2995,0,1,2
2022-10-11,2010-10-18,2022-10-10,3016,0,1,2
2022-11-09,2010-10-18,2022-11-08,3037,1,0,2
2022-12-09,2010-10-18,2022-12-08,3058,0,2,1
2023-01-11,2010-10-18,2023-01-10,3079,1,0,2
2023-02-10,2010-10-18,2023-02-09,3100,0,1,2
2023-03-14,2010-10-18,2023-03-13,3121,0,2,1
2023-04-13,2010-10-18,2023-04-12,3142,0,1,2
2023-05-12,2010-10-18,2023-05-11,3163,0,1,2
2023-06-13,2010-10-18,2023-06-12,3184,0,2,1
2023-07-14,2010-10-18,2023-07-13,3205,0,2,1
2023-08-14,2010-10-18,2023-08-11,3226,1,0,2
2023-09-13,2010-10-18,2023-09-12,3247,0,2,1
2023-10-12,2010-10-18,2023-10-11,3268,1,0,2
2023-11-10,2010-10-18,2023-11-09,3289,0,1,2
2023-12-12,2010-10-18,2023-12-11,3310,0,1,2
2024-01-12,2010-10-18,2024-01-11,3331,1,2,0
2024-02-13,2010-10-18,2024-02-12,3352,1,0,2
2024-03-14,2010-10-18,2024-03-13,3373,1,2,0
2024-04-15,2010-10-18,2024-04-12,3394,1,2,0
2024-05-14,2010-10-18,2024-05-13,3415,0,1,2
2024-06-13,2010-10-18,2024-06-12,3436,0,1,2
2024-07-16,2010-10-18,2024-07-15,3457,0,1,2
2024-08-14,2010-10-18,2024-08-13,3478,1,0,2
2024-09-13,2010-10-18,2024-09-12,3499,0,2,1
2024-10-14,2010-10-18,2024-10-11,3520,0,1,2
2024-11-12,2010-10-18,2024-11-11,3541,1,0,2
2024-12-12,2010-10-18,2024-12-11,3562,1,2,0
2025-01-15,2010-10-18,2025-01-14,3583,1,2,0
2025-02-14,2010-10-18,2025-02-13,3604,1,0,2
2025-03-18,2010-10-18,2025-03-17,3625,1,0,2
2025-04-16,2010-10-18,2025-04-15,3646,1,0,2
2025-05-16,2010-10-18,2025-05-15,3667,0,1,2
2025-06-17,2010-10-18,2025-06-16,3688,1,0,2
2025-07-18,2010-10-18,2025-07-17,3709,0,1,2
2025-08-18,2010-10-18,2025-08-15,3730,1,2,0
2025-09-17,2010-10-18,2025-09-16,3751,1,0,2
2025-10-16,2010-10-18,2025-10-15,3772,0,1,2
2025-11-14,2010-10-18,2025-11-13,3793,1,0,2
2025-12-16,2010-10-18,2025-12-15,3814,0,1,2
2026-01-16,2010-10-18,2026-01-15,3835,1,0,2
2026-02-18,2010-10-18,2026-02-17,3856,1,2,0
2026-03-19,2010-10-18,2026-03-18,3877,1,0,2
2026-04-20,2010-10-18,2026-04-17,3898,1,2,0
2026-05-19,2010-10-18,2026-05-18,3919,1,2,0
2026-06-18,2010-10-18,2026-06-17,3940,1,0,2
2026-07-21,2010-10-18,2026-07-20,3961,1,2,0
